active,student_count
0,285975
1,27862
2,16767
3,12633
4,9960
5,8626
6,7196
7,6226
8,5526
9,4819
10,4549
11,4100
12,3700
13,3367
14,2899
15,2823
16,2658
17,2446
18,2393
19,2174
20,2108
21,2099
22,1891
23,1727
24,1693
25,1646
26,1550
27,1541
28,1410
29,1421
30,1361
31,1299
32,1208
33,1225
34,1197
35,1180
36,1091
37,1114
38,1009
39,1033
40,962
41,930
42,896
43,892
44,919
45,918
46,779
47,864
48,772
49,729
50,758
51,739
52,739
53,680
54,727
55,710
56,644
57,630
58,615
59,586
60,610
61,604
62,555
63,567
64,543
65,526
66,578
67,487
68,484
69,490
70,452
71,455
72,492
73,408
74,404
75,447
76,384
77,385
78,397
79,388
80,405
81,387
82,365
83,375
84,366
85,357
86,314
87,312
88,304
89,326
90,378
91,339
92,335
93,323
94,290
95,277
96,323
97,292
98,289
99,264
100,285
101,307
102,295
103,268
104,252
105,285
106,265
107,245
108,225
109,256
110,251
111,226
112,229
113,241
114,227
115,192
116,210
117,208
118,202
119,227
120,179
121,181
122,198
123,202
124,195
125,200
126,183
127,190
128,180
129,187
130,176
131,220
132,166
133,152
134,213
135,146
136,159
137,167
138,156
139,170
140,178
141,187
142,157
143,160
144,162
145,152
146,132
147,173
148,123
149,155
150,118
151,145
152,139
153,138
154,136
155,142
156,152
157,141
158,142
159,132
160,143
161,138
162,142
163,113
164,90
165,132
166,132
167,119
168,132
169,129
170,107
171,126
172,114
173,126
174,143
175,122
176,127
177,128
178,113
179,135
180,114
181,114
182,112
183,118
184,111
185,83
186,115
187,121
188,110
189,103
190,123
191,109
192,98
193,94
194,121
195,106
196,110
197,89
198,110
199,101
200,115
201,90
202,105
203,87
204,106
205,116
206,95
207,92
208,86
209,93
210,87
211,96
212,89
213,98
214,70
215,86
216,93
217,61
218,85
219,81
220,83
221,85
222,70
223,90
224,74
225,108
226,64
227,71
228,71
229,66
230,91
231,60
232,80
233,87
234,64
235,74
236,76
237,58
238,79
239,56
240,69
241,67
242,54
243,54
244,70
245,65
246,65
247,75
248,63
249,42
250,69
251,56
252,59
253,54
254,57
255,67
256,62
257,59
258,54
259,62
260,68
261,72
262,69
263,34
264,56
265,72
266,52
267,50
268,70
269,63
270,55
271,53
272,47
273,45
274,49
275,54
276,39
277,40
278,62
279,55
280,62
281,47
282,47
283,42
284,65
285,56
286,46
287,41
288,49
289,52
290,47
291,58
292,48
293,37
294,46
295,47
296,46
297,50
298,40
299,40
300,50
301,32
302,41
303,36
304,54
305,48
306,45
307,43
308,37
309,55
310,46
311,42
312,30
313,54
314,39
315,41
316,47
317,37
318,28
319,34
320,50
321,46
322,31
323,51
324,49
325,63
326,36
327,43
328,51
329,33
330,24
331,39
332,44
333,41
334,37
335,35
336,51
337,36
338,41
339,33
340,48
341,37
342,38
343,36
344,28
345,39
346,32
347,37
348,35
349,50
350,39
351,39
352,28
353,46
354,43
355,30
356,42
357,30
358,33
359,32
360,31
361,34
362,32
363,33
364,24
365,27
366,26
367,28
368,34
369,29
370,43
371,37
372,26
373,21
374,36
375,31
376,27
377,34
378,29
379,35
380,23
381,30
382,29
383,26
384,32
385,25
386,27
387,27
388,37
389,38
390,22
391,28
392,35
393,24
394,29
395,32
396,27
397,39
398,21
399,30
400,45
401,20
402,24
403,25
404,22
405,20
406,39
407,31
408,34
409,27
410,22
411,25
412,28
413,24
414,42
415,29
416,29
417,14
418,24
419,32
420,21
421,27
422,26
423,26
424,26
425,20
426,26
427,29
428,35
429,25
430,21
431,22
432,30
433,33
434,17
435,20
436,33
437,14
438,29
439,28
440,32
441,24
442,38
443,25
444,15
445,27
446,27
447,19
448,22
449,16
450,29
451,28
452,26
453,25
454,29
455,23
456,25
457,25
458,22
459,24
460,26
461,15
462,21
463,18
464,24
465,16
466,21
467,29
468,24
469,16
470,23
471,22
472,30
473,28
474,11
475,13
476,17
477,22
478,25
479,20
480,25
481,22
482,20
483,19
484,18
485,14
486,24
487,15
488,21
489,10
490,26
491,25
492,24
493,15
494,27
495,25
496,15
497,27
498,23
499,23
500,20
501,19
502,20
503,17
504,25
505,19
506,14
507,23
508,13
509,13
510,30
511,25
512,25
513,20
514,21
515,13
516,18
517,18
518,14
519,15
520,20
521,23
522,21
523,19
524,17
525,14
526,19
527,23
528,15
529,27
530,18
531,18
532,17
533,20
534,19
535,9
536,21
537,10
538,22
539,10
540,16
541,19
542,28
543,10
544,25
545,15
546,21
547,11
548,18
549,18
550,19
551,23
552,13
553,8
554,24
555,17
556,11
557,18
558,13
559,21
560,18
561,16
562,16
563,14
564,17
565,11
566,17
567,15
568,13
569,21
570,12
571,18
572,16
573,12
574,21
575,14
576,17
577,11
578,21
579,15
580,24
581,17
582,15
583,18
584,8
585,16
586,15
587,15
588,19
589,14
590,15
591,19
592,15
593,13
594,17
595,12
596,12
597,15
598,17
599,15
600,21
601,15
602,25
603,22
604,15
605,19
606,20
607,12
608,18
609,13
610,17
611,5
612,16
613,12
614,11
615,15
616,14
617,4
618,15
619,9
620,12
621,12
622,8
623,14
624,11
625,10
626,13
627,4
628,7
629,12
630,10
631,6
632,13
633,20
634,20
635,8
636,6
637,12
638,10
639,14
640,11
641,8
642,12
643,7
644,12
645,7
646,8
647,12
648,20
649,16
650,19
651,12
652,3
653,11
654,6
655,13
656,15
657,7
658,11
659,6
660,20
661,11
662,5
663,13
664,21
665,7
666,11
667,6
668,7
669,10
670,8
671,13
672,14
673,13
674,13
675,7
676,7
677,7
678,13
679,6
680,13
681,10
682,6
683,8
684,4
685,7
686,9
687,4
688,9
689,14
690,7
691,9
692,9
693,8
694,12
695,6
696,9
697,8
698,10
699,8
700,9
701,9
702,5
703,5
704,7
705,9
706,11
707,7
708,6
709,7
710,12
711,2
712,9
713,14
714,8
715,8
716,5
717,9
718,7
719,15
720,8
721,9
722,4
723,6
724,14
725,8
726,8
727,7
728,9
729,6
730,5
731,5
732,7
733,12
734,13
735,7
736,7
737,6
738,10
739,10
740,9
741,6
742,4
743,5
744,6
745,9
746,2
747,7
748,6
749,4
750,8
751,8
752,5
753,4
754,4
755,7
756,5
757,9
758,5
759,11
760,10
761,6
762,9
763,13
764,5
765,8
766,6
767,5
768,2
769,3
770,3
771,6
772,5
773,3
774,11
775,4
776,8
777,7
778,4
779,5
780,4
781,7
782,7
783,9
784,4
785,3
786,11
787,2
788,2
789,4
790,5
791,4
792,7
793,6
794,10
795,12
796,2
797,4
798,4
799,9
800,7
801,3
802,12
803,4
804,13
805,6
806,8
807,3
808,7
809,9
810,6
811,5
812,7
813,9
814,6
815,5
816,3
817,3
818,4
819,5
820,9
821,3
822,8
823,6
824,4
825,5
826,5
827,1
828,5
829,7
830,8
831,6
832,8
833,4
834,6
835,4
836,5
837,4
838,7
839,4
840,4
841,5
842,1
843,3
844,6
845,3
846,6
847,3
848,7
849,3
850,4
851,2
852,4
853,7
854,4
855,4
856,3
857,5
858,5
859,6
860,4
861,2
862,7
863,4
864,1
865,7
866,2
867,3
868,2
869,3
870,1
871,8
872,4
873,3
874,4
875,4
876,3
877,3
878,6
879,5
880,2
881,6
882,3
884,2
885,1
886,3
888,3
889,1
890,7
891,6
892,3
893,8
